pause_n,pause_ms,boundary_type,tier1,tier2,process,context_key,phase,burst_chars,outcome,detail,prompt_id,prompt_type,prompt_text
1,2060,word_boundary,pre_theme,Unknown (SCONJ),,pre_theme,DRAFTING,8,already_relating,,,,
2,1598,word_boundary,theme_rheme_boundary,Circumstance (preposition),,theme_rheme,REVISION,12,revision_phase,,,,
3,1501,sentence_boundary,,,,sentence,REVISION,31,revision_phase,,,,
4,1523,word_boundary,within_rheme,Process,Material,within_rheme,REVISION,14,revision_phase,,,,
5,1605,phrase_boundary,,,Material,phrase,REVISION,8,revision_phase,,,,
6,1501,sentence_boundary,,,,sentence,REVISION,26,revision_phase,,,,
7,1604,phrase_boundary,,,,phrase,REVISION,4,revision_phase,,,,
8,1599,phrase_boundary,,,Mental,phrase,REVISION,31,revision_phase,,,,
9,1529,word_boundary,within_rheme,Circumstance,Relational,within_rheme,REVISION,15,revision_phase,,,,
10,1326,mid_word,,,Relational,mid_word,REVISION,13,revision_phase,,,,
11,1517,word_boundary,within_rheme,Process (auxiliary),Relational,within_rheme,REVISION,12,revision_phase,,,,
12,1519,word_boundary,within_rheme,Process (auxiliary),Relational,within_rheme,REVISION,1,revision_phase,,,,
13,1615,phrase_boundary,,,Relational,phrase,REVISION,8,revision_phase,,,,
